ds_1,sample_1,ds_2,sample_2,JS,WD,pearson,corr_ratio,theils_u,if_disc_tr-ds1_tst-ds2_fpr,if_disc_tr-ds2_tst-ds1_fpr,ocsvm_disc_tr-ds1_tst-ds2_fpr,ocsvm_disc_tr-ds2_tst-ds1_fpr,if_task_tr-ds1_tst-ds2_f1-macro,if_task_tr-ds2_tst-ds1_f1-macro,if_task_tr-ds1_tst-ds2_f1-micro,if_task_tr-ds2_tst-ds1_f1-micro,if_task_tr-ds1_tst-ds2_f1-weighted,if_task_tr-ds2_tst-ds1_f1-weighted,ocsvm_task_tr-ds1_tst-ds2_f1-macro,ocsvm_task_tr-ds2_tst-ds1_f1-macro,ocsvm_task_tr-ds1_tst-ds2_f1-micro,ocsvm_task_tr-ds2_tst-ds1_f1-micro,ocsvm_task_tr-ds1_tst-ds2_f1-weighted,ocsvm_task_tr-ds2_tst-ds1_f1-weighted,xgb_task_tr-ds1_tst-ds2_f1-macro,xgb_task_tr-ds2_tst-ds1_f1-macro,xgb_task_tr-ds1_tst-ds2_f1-micro,xgb_task_tr-ds2_tst-ds1_f1-micro,xgb_task_tr-ds1_tst-ds2_f1-weighted,xgb_task_tr-ds2_tst-ds1_f1-weighted,model
NF-CSE-CIC-IDS2018,step-10000,NF-CSE-CIC-IDS2018,0,0.24793816821520656,0.020555013942960904,0.12638570181713885,0.3678721293459815,0.10018950394468819,0.292,0.10374899759422614,0.4414,0.32688452285485164,0.10618519842688595,0.025258705804780894,0.1188,0.025260625501202887,0.025229603146228102,0.026593991787452684,0.10949671927339717,0.012715082243085925,0.1215,0.012830793905372897,0.03067414196106298,0.0022817473602108752,0.0423861852433281,0.05844155844155843,0.009653199856989631,0.0017830609212481428,0.0847723704866562,0.11688311688311687,gpt2
NF-CSE-CIC-IDS2018,step-1000,NF-CSE-CIC-IDS2018,0,0.26805743212429306,0.024331360574442726,0.23509945732344442,0.28532252204036146,0.10328917432619428,0.3261,0.10809160305343511,0.4283,0.34564885496183206,0.10618519842688595,0.02005517533843742,0.1188,0.02015267175572519,0.025229603146228102,0.029730202462147668,0.10618519842688595,0.00578248293545129,0.1188,0.005801526717557252,0.025229603146228102,0.0014754880289284359,0.0,0.022222222222222223,0.0,0.00040506329113924053,0.0,0.044444444444444446,gpt2
NF-CSE-CIC-IDS2018,step-1500,NF-CSE-CIC-IDS2018,0,0.2785232451311911,0.028304594284452967,0.31663850657768106,0.2724127570709186,0.11030893264726467,0.3182,0.1101566447700859,0.4447,0.34967155128852956,0.10618519842688595,0.019936074075456386,0.1188,0.02001010611419909,0.025229603146228102,0.028355927225949342,0.10618519842688595,0.007767834461597945,0.1188,0.0077817079332996465,0.025229603146228102,0.0041003634693184635,0.0,0.0,0.0,0.0,0.0,0.0,gpt2
NF-CSE-CIC-IDS2018,step-2500,NF-CSE-CIC-IDS2018,0,0.26278137642555804,0.024663776468577387,0.22337742852109133,0.22953423353141297,0.09224280335757622,0.2651,0.07902674441986729,0.447,0.3154031771566459,0.10618519842688595,0.013453445366190265,0.1188,0.013472752865473557,0.025229603146228102,0.017778325205647448,0.10679976090590443,0.005822445025786777,0.1193,0.005831490046249749,0.026240316397548896,0.002850854303018603,0.00749375520399667,0.012195121951219513,0.0016088666428316052,0.00020018016214593134,0.01498751040799334,0.024390243902439025,gpt2
NF-CSE-CIC-IDS2018,step-3500,NF-CSE-CIC-IDS2018,0,0.25229536695325777,0.02302709500790638,0.20416881909815865,0.23077059505401024,0.10508018448744715,0.304,0.11435180529015387,0.4346,0.33551242079855176,0.10655400801910629,0.01694389281101605,0.1191,0.01699688222870361,0.025836165941187643,0.024085850079891225,0.10618519842688595,0.008040082023677429,0.1188,0.008045861410037212,0.025229603146228102,0.0056707744239316744,0.0,0.013157894736842105,0.0,0.0002001000500250125,0.0,0.026315789473684206,gpt2
NF-CSE-CIC-IDS2018,step-4500,NF-CSE-CIC-IDS2018,0,0.27075668786925544,0.02660042771394798,0.27251804071569236,0.31414874170756074,0.10019879396927939,0.3094,0.0842623280104449,0.4417,0.31595862207492215,0.10618519842688595,0.01912976166603387,0.1188,0.01918248468414181,0.025229603146228102,0.026235813380609575,0.10790446129292974,0.008525817231984102,0.1202,0.008536707843728031,0.028056772108344,0.005278764839604382,0.023255813953488372,0.0625,0.005184125849124061,0.001198083067092652,0.046511627906976744,0.125,gpt2
NF-CSE-CIC-IDS2018,step-500,NF-CSE-CIC-IDS2018,0,0.2935613474815944,0.028305291822301955,0.2981337399228838,0.28026323520830676,0.1143813848518885,0.3153,0.1368041237113402,0.3799,0.39979381443298967,0.10618519842688595,0.02425319775375265,0.1188,0.024329896907216497,0.025229603146228102,0.03276502008699619,0.10618519842688595,0.008395897289122704,0.1188,0.008453608247422681,0.025229603146228102,0.0009527434240554988,0.0,0.0,0.0,0.0,0.0,0.0,gpt2
NF-CSE-CIC-IDS2018,step-5500,NF-CSE-CIC-IDS2018,0,0.26731310191185004,0.026509531032085195,0.2585160950557055,0.2860842065655096,0.10154978727786368,0.2942,0.09982943714257048,0.4348,0.32005618541185915,0.10618519842688595,0.014976328323965565,0.1188,0.015049663890839771,0.025229603146228102,0.02341929864514596,0.10937438101722217,0.005013990571228651,0.1214,0.005016554630279924,0.03047307368099319,0.0034273187795627854,0.0008298755186721991,0.038461538461538464,0.0001787629603146228,0.0004,0.0016597510373443983,0.07692307692307693,gpt2
NF-CSE-CIC-IDS2018,step-6500,NF-CSE-CIC-IDS2018,0,0.26588868101721963,0.02545261076536771,0.2603480222583622,0.2961777260146356,0.09797512817069616,0.2898,0.09492273730684327,0.4591,0.31737908890226774,0.10643109553251656,0.02156979311331529,0.119,0.021573349387918925,0.025634023306467843,0.023397343914886615,0.11035242084477724,0.011161110847747333,0.1222,0.011238209913706604,0.03208037276902474,0.002606619029266399,0.010378057820607857,0.06060606060606061,0.0025026814444047193,0.0015893513459819214,0.020756115641215715,0.12121212121212122,gpt2
NF-CSE-CIC-IDS2018,step-7500,NF-CSE-CIC-IDS2018,0,0.2688375799672205,0.02626416919737261,0.2634844593049894,0.28881282333628633,0.09737759960659222,0.297,0.09617508282300974,0.4582,0.30729846400963756,0.10618519842688595,0.020775825341476123,0.1188,0.02078104607971087,0.025229603146228102,0.022995093068481003,0.11157283384271985,0.010380037937039979,0.1232,0.010440718803332999,0.03408549574560115,0.0027739247351572377,0.03025477707006369,0.041666666666666664,0.0067929924919556675,0.000994727941907888,0.060509554140127375,0.08333333333333333,gpt2
