ds_1,sample_1,ds_2,sample_2,JS,WD,pearson,corr_ratio,theils_u,if_disc_tr-ds1_tst-ds2_fpr,if_disc_tr-ds2_tst-ds1_fpr,ocsvm_disc_tr-ds1_tst-ds2_fpr,ocsvm_disc_tr-ds2_tst-ds1_fpr,if_task_tr-ds1_tst-ds2_f1-macro,if_task_tr-ds2_tst-ds1_f1-macro,if_task_tr-ds1_tst-ds2_f1-micro,if_task_tr-ds2_tst-ds1_f1-micro,if_task_tr-ds1_tst-ds2_f1-weighted,if_task_tr-ds2_tst-ds1_f1-weighted,ocsvm_task_tr-ds1_tst-ds2_f1-macro,ocsvm_task_tr-ds2_tst-ds1_f1-macro,ocsvm_task_tr-ds1_tst-ds2_f1-micro,ocsvm_task_tr-ds2_tst-ds1_f1-micro,ocsvm_task_tr-ds1_tst-ds2_f1-weighted,ocsvm_task_tr-ds2_tst-ds1_f1-weighted,xgb_task_tr-ds1_tst-ds2_f1-macro,xgb_task_tr-ds2_tst-ds1_f1-macro,xgb_task_tr-ds1_tst-ds2_f1-micro,xgb_task_tr-ds2_tst-ds1_f1-micro,xgb_task_tr-ds1_tst-ds2_f1-weighted,xgb_task_tr-ds2_tst-ds1_f1-weighted,model
NF-UNSW-NB15,step-0500,NF-UNSW-NB15,0,0.507315074308083,0.10356911806222989,0.3208305934049538,0.21592004257189024,0.40658656394010684,0.0001,0.0,0.0,0.0,0.04150292341608358,0.0,0.0433,0.0,0.003594153167832838,0.0,0.04150292341608358,0.0,0.0433,0.0,0.003594153167832838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wgan-binary
NF-UNSW-NB15,step-10000,NF-UNSW-NB15,0,0.26545557668225533,0.004471623170342827,0.25112637705965674,0.16235857276134213,0.1174950342533922,0.2602,0.3231828136406299,0.1168,0.46365627281259775,0.04150292341608358,0.06374532599969158,0.0433,0.06799457711961622,0.003594153167832838,0.009208884768584414,0.04150292341608358,0.06350932404310645,0.0433,0.06778600479716342,0.003594153167832838,0.008790249765504271,0.36847599164926936,0.2788177339901478,0.06766989360682449,0.055284235202187934,0.7369519832985388,0.5576354679802956,wgan-binary
NF-UNSW-NB15,step-1000,NF-UNSW-NB15,0,0.45498078171768325,0.01650949716738415,0.32969572590032636,0.20504453656578636,0.31663144638083734,0.0003,0.1215,0.0,0.0758,0.04150292341608358,0.008034917170915583,0.0433,0.0081,0.003594153167832838,0.016069834341831166,0.04150292341608358,0.0,0.0433,0.0,0.003594153167832838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wgan-binary
NF-UNSW-NB15,step-1500,NF-UNSW-NB15,0,0.3855319864667542,0.015608697656890477,0.19412046002589073,0.350773582965081,0.24853375458548815,0.0047,0.2294,0.0,0.3243,0.04150292341608358,0.0,0.0433,0.0,0.003594153167832838,0.0,0.04150292341608358,0.0,0.0433,0.0,0.003594153167832838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wgan-binary
NF-UNSW-NB15,step-2500,NF-UNSW-NB15,0,0.34813013017160505,0.009263557957737676,0.23278932045152806,0.27845225198760093,0.24322634247980265,0.0012,0.4643,0.0023,0.3559,0.04150292341608358,0.0009990009990009992,0.0433,0.001,0.003594153167832838,0.0019980019980019984,0.04150292341608358,0.0,0.0433,0.0,0.003594153167832838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wgan-binary
NF-UNSW-NB15,step-3500,NF-UNSW-NB15,0,0.3337799746486738,0.005596195600278902,0.25855569050332833,0.531938225118003,0.2406974410574687,0.3054,0.48148148148148145,0.0004,0.5006071645415908,0.05065029953875341,0.013541185327308237,0.0518,0.01366120218579235,0.020473966167988078,0.0029290524642818735,0.04150292341608358,0.012195121951219511,0.0433,0.012345679012345678,0.003594153167832838,0.0003011141222523336,0.0,0.15288220551378445,0.0,0.012195121951219511,0.0,0.3057644110275689,wgan-binary
NF-UNSW-NB15,step-4500,NF-UNSW-NB15,0,0.3063005312221935,0.006602932455390696,0.23852288588380574,0.5549367266882251,0.1825177107738252,0.0087,0.23051681706316654,0.006,0.367104183757178,0.04182834060177268,0.008546896378597998,0.0436,0.008613617719442166,0.004194998872916022,0.0005503436784245056,0.04150292341608358,0.008338417734390889,0.0433,0.008408531583264971,0.003594153167832838,0.00014022769774816506,0.0,0.11013986013986013,0.0,0.012812690665039659,0.0,0.22027972027972023,wgan-binary
NF-UNSW-NB15,step-5500,NF-UNSW-NB15,0,0.3155542769814936,0.0074286852986388255,0.4061004300500795,0.3718573644411903,0.14466049370479603,0.0146,0.23115100316789863,0.0021,0.3544878563885956,0.04150292341608358,0.00200623564277478,0.0433,0.002006335797254488,0.003594153167832838,0.002321855793160198,0.04150292341608358,0.000844059928254906,0.0433,0.0008447729672650475,0.003594153167832838,1.42607802028284e-06,0.23941798941798942,0.07142857142857144,0.034697594172337774,0.0002110149820637265,0.47883597883597884,0.14285714285714288,wgan-binary
NF-UNSW-NB15,step-6500,NF-UNSW-NB15,0,0.2888168792093912,0.0053316050438209405,0.21181387858922146,0.2894585329381983,0.18141372433832872,0.1591,0.29617004210948467,0.0974,0.42039302185682775,0.04150292341608358,0.06459041192300659,0.0433,0.06847804291157009,0.003594153167832838,0.012303891255670484,0.04150292341608358,0.06232960421171384,0.0433,0.06647282935632645,0.003594153167832838,0.00828645028922524,0.3966861598440546,0.3151219512195122,0.0780216620339308,0.06073140923192629,0.7933723196881092,0.6302439024390244,wgan-binary
NF-UNSW-NB15,step-7500,NF-UNSW-NB15,0,0.28749681834828106,0.005241354221943584,0.2968843657621754,0.22320224707877662,0.15748147684350333,0.123,0.2883281391374284,0.0599,0.298783552829999,0.04161141689065802,0.05780777344739321,0.0434,0.061224489795918366,0.003794476796376469,0.007960220576339237,0.04193677085244455,0.057245758695858205,0.0437,0.06072182567608324,0.0043951973471496675,0.0069521339604500555,0.39579524680073125,0.40508628519527706,0.08300584683216716,0.08454174959719458,0.7915904936014625,0.8101725703905541,wgan-binary
