ds_1,sample_1,ds_2,sample_2,JS,WD,pearson,corr_ratio,theils_u,if_disc_tr-ds1_tst-ds2_fpr,if_disc_tr-ds2_tst-ds1_fpr,ocsvm_disc_tr-ds1_tst-ds2_fpr,ocsvm_disc_tr-ds2_tst-ds1_fpr,if_task_tr-ds1_tst-ds2_f1-macro,if_task_tr-ds2_tst-ds1_f1-macro,if_task_tr-ds1_tst-ds2_f1-micro,if_task_tr-ds2_tst-ds1_f1-micro,if_task_tr-ds1_tst-ds2_f1-weighted,if_task_tr-ds2_tst-ds1_f1-weighted,ocsvm_task_tr-ds1_tst-ds2_f1-macro,ocsvm_task_tr-ds2_tst-ds1_f1-macro,ocsvm_task_tr-ds1_tst-ds2_f1-micro,ocsvm_task_tr-ds2_tst-ds1_f1-micro,ocsvm_task_tr-ds1_tst-ds2_f1-weighted,ocsvm_task_tr-ds2_tst-ds1_f1-weighted,xgb_task_tr-ds1_tst-ds2_f1-macro,xgb_task_tr-ds2_tst-ds1_f1-macro,xgb_task_tr-ds1_tst-ds2_f1-micro,xgb_task_tr-ds2_tst-ds1_f1-micro,xgb_task_tr-ds1_tst-ds2_f1-weighted,xgb_task_tr-ds2_tst-ds1_f1-weighted,model,error_flows,Data Dissimilarity Score,Domain Dissimilarity Score,Data Dissimilarity Score_std,Domain Dissimilarity Score_std
NF-ToN-IoT,step-7500,NF-ToN-IoT,0,0.188778906856278,0.0117734494898157,0.1227546962531921,0.2525774101961349,0.072750709672922,0.41679999999999995,0.35516814524448115,0.6633,0.4884464617289045,0.5340982061441282,0.4571013117388035,0.8122,0.8356715494120074,0.2449609692781679,0.23882658383239208,0.4735615320882728,0.455148381294964,0.8119999999999999,0.8353620796368888,0.267354492351465,0.2395726033161505,0.3095501318139297,0.0158145065398335,0.4028999944656595,0.0149505395683453,0.3808997363721405,0.968370986920333,04-gpt2,0.0306,0.3200720412439891,0.33865505315294986,0.19951326476076914,0.2963303597760929
NF-ToN-IoT,step-8000,NF-ToN-IoT,0,0.1898257731488924,0.0101651423082242,0.1501034040305021,0.2420120568670722,0.0732121732047457,0.49229999999999996,0.3721719457013575,0.6607000000000001,0.49845742492801315,0.5103540086353188,0.4544276024491153,0.8191999999999999,0.8251748251748252,0.250953383080066,0.2534517065908569,0.4662830667792037,0.4519837691614067,0.8106,0.8247634718222954,0.2705922648805016,0.25444059467822266,0.3442899622277585,0.0172269410216533,0.4741823011788145,0.0162308385933273,0.3114200755444829,0.9655461179566934,04-gpt2,0.0276,0.3348478472350729,0.33342916324726046,0.20401876989168352,0.29353422262532114
NF-ToN-IoT,step-8500,NF-ToN-IoT,0,0.1851886136550807,0.009330232157166,0.105559676346559,0.1335105327246065,0.0732295365851768,0.43400000000000005,0.34376924656128105,0.6816,0.46427838226236917,0.4897360263797096,0.4555043360990576,0.815,0.8305276123999179,0.26020507205699606,0.24605413517864994,0.4724845799790838,0.4536174985978687,0.8116999999999999,0.8302196674194211,0.26786904914070875,0.24679566235689543,0.352253622608278,0.0155878153260352,0.4870219713321158,0.0146943353897924,0.29549275478344394,0.9688243693479296,04-gpt2,0.0258,0.30264199851688417,0.330148720409232,0.21466057335174285,0.29567049989962796
NF-ToN-IoT,step-9000,NF-ToN-IoT,0,0.188134049674205,0.0123705464501997,0.2005907617570133,0.2716405491010453,0.0671715335520926,0.4516,0.36264639408259713,0.6684,0.4806862543661393,0.4730448725122976,0.4511390892862343,0.8119000000000001,0.813026505033902,0.2675845360773623,0.2703028341185215,0.468852319698969,0.4482797710139999,0.811,0.8125128415861927,0.2694852754059739,0.2715338588556143,0.1594098225340487,0.0173598553345388,0.1710111240245724,0.0163237544635266,0.6811803549319027,0.9652802893309222,04-gpt2,0.0266,0.33635869281663655,0.3931381641028996,0.19350419618774592,0.3176987610516314
NF-ToN-IoT,step-9500,NF-ToN-IoT,0,0.1882386182064502,0.0108642116401809,0.1547685140092756,0.1518149385729297,0.0702176749835787,0.47,0.3351755193941255,0.6813,0.4613652645583871,0.4781893611484341,0.4575231408944633,0.8129,0.8331798178282673,0.26529248411677864,0.24212707965077596,0.4729581192593055,0.4543474618864131,0.8116999999999999,0.8326680994780473,0.26769328850090623,0.2433587248167317,0.1625025810448069,0.0131298793470546,0.1742210415628978,0.0123973864969006,0.6749948379103863,0.9737402413058908,04-gpt2,0.0229,0.3141100662155933,0.3843009509002099,0.20986884486859603,0.32413750764822113
NF-UNSW-NB15,step-10000,NF-UNSW-NB15,0,0.1605130384442937,0.0048930139071527,0.1070609983640849,0.1366421409448235,0.0646490718737967,0.5827,0.5979381443298969,0.5419,0.48814432989690726,0.0417198892835319,0.070125593798176,0.0435,0.0750515463917525,0.9960052413063031,0.9875485197124519,0.0415029234160835,0.0688297974464817,0.0433,0.0739175257731958,0.9964058468321672,0.9898245433465717,0.3651282051282051,0.3207831325301205,0.0682449918527748,0.0817893827397523,0.2697435897435898,0.35843373493975894,04-gpt2,0.03,0.3349434654817254,0.6611373536972632,0.23651936820763794,0.42471047021909364
NF-UNSW-NB15,step-1000,NF-UNSW-NB15,0,0.1668149741929597,0.0039910315781156,0.1432677256503877,0.1298650462650648,0.0684200979101289,0.5933999999999999,0.571061368747992,0.5873999999999999,0.4544286173289065,0.0415029234160835,0.0672090594991278,0.0433,0.0717575238299239,0.9964058468321672,0.9887049613771473,0.0415029234160835,0.0661132226445289,0.0433,0.0707936167934026,0.9964058468321672,0.9906392117022527,0.3965014577259475,0.2819644369178662,0.0782133614492475,0.0666133226645329,0.20699708454810495,0.4360711261642676,04-gpt2,0.0663,0.3393322287619299,0.668789153922301,0.23253479007880987,0.41852952004076943
NF-UNSW-NB15,step-1500,NF-UNSW-NB15,0,0.1619567523966645,0.0034517728326709,0.2016756264928373,0.1180947616757092,0.0690807397252347,0.5496,0.5528933575783506,0.6036,0.43929832067600816,0.0415029234160835,0.0647848806408482,0.0433,0.0689913359717616,0.9964058468321672,0.9894025830079357,0.0415029234160835,0.0636955433149724,0.0433,0.0680286661675045,0.9964058468321672,0.9913337542949359,0.383282364933741,0.2815884476534296,0.0720789801591105,0.0624937406109163,0.23343527013251786,0.4368231046931408,04-gpt2,0.0651,0.3370249448181005,0.6727009151132665,0.22103725001852192,0.4141594134802721
NF-UNSW-NB15,step-2000,NF-UNSW-NB15,0,0.1569925534571123,0.0035159868962612,0.1197211212596933,0.0796026538833019,0.0712286848372229,0.5616,0.5672882258923815,0.5802,0.45775173148641446,0.041611416890658,0.0635344953893082,0.0434,0.0676611614278103,0.9962055232036237,0.9902976312477805,0.0415029234160835,0.0628120631116437,0.0433,0.0670218433670751,0.9964058468321672,0.9915804394891372,0.3872549019607843,0.2943800178412132,0.0757212690501294,0.0659077291791492,0.22549019607843135,0.4112399643175736,04-gpt2,0.0615,0.3242981213520158,0.6675313715955304,0.23676839906810973,0.41907252451596533
NF-UNSW-NB15,step-2500,NF-UNSW-NB15,0,0.1616231769068274,0.0036862325682374,0.1064407503804842,0.1713287450138932,0.0735179797398586,0.5429999999999999,0.568852288126759,0.5675,0.46784113416032524,0.0419367708524445,0.0630604481301258,0.0437,0.0669237986031481,0.9956048026528505,0.9892139450397459,0.0415029234160835,0.0615339463901389,0.0433,0.0655686438027728,0.9964058468321672,0.9919306051747322,0.3805668016194332,0.2919964819700967,0.0720789801591105,0.0649579338681275,0.23886639676113364,0.4160070360598065,04-gpt2,0.0407,0.33251300929101846,0.6669612332172051,0.22266708288557457,0.4211964273472977
