ds_1,sample_1,ds_2,sample_2,JS,WD,pearson,corr_ratio,theils_u,if_disc_tr-ds1_tst-ds2_fpr,if_disc_tr-ds2_tst-ds1_fpr,ocsvm_disc_tr-ds1_tst-ds2_fpr,ocsvm_disc_tr-ds2_tst-ds1_fpr,if_task_tr-ds1_tst-ds2_f1-macro,if_task_tr-ds2_tst-ds1_f1-macro,if_task_tr-ds1_tst-ds2_f1-micro,if_task_tr-ds2_tst-ds1_f1-micro,if_task_tr-ds1_tst-ds2_f1-weighted,if_task_tr-ds2_tst-ds1_f1-weighted,ocsvm_task_tr-ds1_tst-ds2_f1-macro,ocsvm_task_tr-ds2_tst-ds1_f1-macro,ocsvm_task_tr-ds1_tst-ds2_f1-micro,ocsvm_task_tr-ds2_tst-ds1_f1-micro,ocsvm_task_tr-ds1_tst-ds2_f1-weighted,ocsvm_task_tr-ds2_tst-ds1_f1-weighted,xgb_task_tr-ds1_tst-ds2_f1-macro,xgb_task_tr-ds2_tst-ds1_f1-macro,xgb_task_tr-ds1_tst-ds2_f1-micro,xgb_task_tr-ds2_tst-ds1_f1-micro,xgb_task_tr-ds1_tst-ds2_f1-weighted,xgb_task_tr-ds2_tst-ds1_f1-weighted,model
NF-CSE-CIC-IDS2018,0,NF-CSE-CIC-IDS2018,1,0.14466645331190142,0.00392668123996179,0.18228740432541166,0.1291327484841277,0.004228632859427922,0.2668,0.2657,0.4927,0.5023,0.36322594242993733,0.35771065903511357,0.3753,0.3709,0.4293921286490316,0.42788200273106203,0.5001320936742466,0.5031022099382803,0.5497,0.5588,0.6189124751077605,0.6299361261361751,0.48367346938775513,0.4819225861335602,0.21109824530150528,0.20253843403646765,0.9673469387755103,0.9638451722671204,04-real
NF-CSE-CIC-IDS2018,0,NF-CSE-CIC-IDS2018,10,0.13032240764239023,0.0012564629164740608,0.02631399477773343,0.06464694274928084,0.0037899738664602866,0.2677,0.2914,0.4974,0.4965,0.36248252486287563,0.36269893869221076,0.3748,0.377,0.42942224226275877,0.4354835123975414,0.5022281639928698,0.49723884941873653,0.5532,0.5509,0.6225535543672015,0.6224646259818073,0.4842664487127094,0.4839675074818299,0.21117348302592887,0.20235967107615302,0.9685328974254188,0.9679350149636597,04-real
NF-CSE-CIC-IDS2018,0,NF-CSE-CIC-IDS2018,11,0.13406027707045867,0.002226533198064305,0.007106271297606482,0.06177145752595183,0.0039874690714255916,0.2649,0.2591,0.4999,0.4956,0.36156451325405514,0.3489176152354744,0.3731999999999999,0.3604,0.42648191041735634,0.41483757114266057,0.5035802809066732,0.4964100680812657,0.5547,0.5497,0.6235658602806021,0.6213047625013182,0.4854486661277284,0.4841473864610111,0.2138152038454691,0.20200214515552378,0.9708973322554569,0.9682947729220222,04-real
NF-CSE-CIC-IDS2018,0,NF-CSE-CIC-IDS2018,12,0.13124906883467888,0.0021288631523122036,0.016303205073763653,0.07485535309391561,0.005076371475186151,0.2627,0.265,0.497,0.4954,0.3520641469551156,0.359752483947832,0.3648,0.3734,0.4217752284575711,0.43101869105860524,0.4964249986468944,0.49723884941873653,0.5508,0.5509,0.6234103183011038,0.6224646259818073,0.48424687095381963,0.48378839590443684,0.2010212308519215,0.20271719699678228,0.9684937419076394,0.9675767918088736,04-real
NF-CSE-CIC-IDS2018,0,NF-CSE-CIC-IDS2018,13,0.13227284626076877,0.0019383512837168077,0.020004856037823003,0.05550950207595102,0.0033700465287239043,0.27,0.2533,0.5054,0.4892,0.36040369193788646,0.3513675832714215,0.374,0.3634,0.43157448969512263,0.4187208469562103,0.5004701744484128,0.49566015112937023,0.5551,0.5488,0.6265466270065362,0.6204716754022233,0.48377455166524336,0.48365180467091295,0.20261087267525035,0.2036110117983554,0.9675491033304868,0.9673036093418258,04-real
NF-CSE-CIC-IDS2018,0,NF-CSE-CIC-IDS2018,14,0.12539062655838643,0.0002830513494050613,0.002096179572282227,0.05287288277274338,0.0024885225567064903,0.2656,0.2598,0.4928,0.4997,0.35407295794433036,0.3562933206023364,0.3673,0.3692,0.4248390194245585,0.425785215890322,0.4944735013110968,0.49881743338554896,0.5481,0.553,0.6205295264760471,0.6244524357786676,0.4839675074818299,0.48299319727891155,0.20264948084496956,0.20307472291741152,0.9679350149636597,0.965986394557823,04-real
NF-CSE-CIC-IDS2018,0,NF-CSE-CIC-IDS2018,15,0.12951360963121522,0.001530658830466895,0.0036391675016925547,0.03225344855309594,0.003536590979202579,0.2636,0.2755,0.497,0.4972,0.36412043444985426,0.34844734656657605,0.3752,0.35979999999999995,0.4268878520134829,0.4140175206396249,0.506800074470746,0.49686463839874234,0.5558,0.5505,0.6230505323095026,0.6221069038958291,0.4814667198086887,0.48129251700680264,0.21454577746203715,0.20235967107615302,0.9629334396173774,0.9625850340136053,04-real
NF-CSE-CIC-IDS2018,0,NF-CSE-CIC-IDS2018,16,0.12624786406256017,0.0009136286423391585,0.00917162148338762,0.042270211134158096,0.004387276596330954,0.2707,0.2529,0.501,0.4888,0.36890104254120987,0.35310519849738176,0.3812,0.3653,0.43508282508449864,0.4208205420195681,0.5061260782130518,0.4940812924197295,0.5561,0.5467,0.6241405706567974,0.618473548727321,0.4838187702265373,0.484796573875803,0.2127356812522234,0.20235967107615302,0.9676375404530746,0.9695931477516061,04-real
NF-CSE-CIC-IDS2018,0,NF-CSE-CIC-IDS2018,17,0.13056471320432209,0.0017376487098640788,0.015548225347936158,0.09149438403370563,0.004694682276595934,0.2604,0.2563,0.4949,0.4977,0.36700262205622813,0.35680238034362755,0.3771,0.3699,0.42630772861751065,0.42677873091138036,0.5073734116155351,0.5013731123386594,0.5532,0.5564,0.6188296846109319,0.627659985165288,0.4821567106283941,0.48205128205128206,0.22017536090691697,0.20164461923489455,0.9643134212567881,0.9641025641025641,04-real
NF-CSE-CIC-IDS2018,0,NF-CSE-CIC-IDS2018,18,0.1342335445537409,0.0020084164736226644,0.025506704257831258,0.059570435713230147,0.0028728745577486074,0.2654,0.2563,0.5025,0.4908,0.35742316520730055,0.34730140872213666,0.3706,0.3584,0.42768734850133194,0.4121907184632643,0.5020483307685281,0.4930286081826833,0.5571,0.5453,0.6284767657313911,0.6171385711896041,0.48179508890770534,0.48078565328778816,0.20354140583079952,0.2012870933142653,0.9635901778154107,0.9615713065755763,04-real
